time,field_name,field_value
1688867787585,pressure,1021.7
1688868147624,pressure,1021.7
1688868447657,pressure,1021.7
1688868747700,pressure,1021.6
1688869047736,pressure,1021.5
1688869347767,pressure,1021.5
1688869647797,pressure,1021.6
1688869947833,pressure,1021.5
1688870247867,pressure,1021.5
1688870547901,pressure,1021.5
1688870847936,pressure,1021.7
1688871147979,pressure,1021.7
1688871448010,pressure,1021.6
1688871748053,pressure,1021.6
1688872048100,pressure,1021.7
1688872348136,pressure,1021.8
1688872648169,pressure,1021.8
1688872948203,pressure,1021.8
1688873248237,pressure,1021.9
1688873548272,pressure,1021.8
1688873848308,pressure,1021.7
1688874148354,pressure,1021.8
1688874448386,pressure,1021.6
1688874748420,pressure,1021.7
1688875048458,pressure,1021.8
1688875348497,pressure,1021.7
1688875648537,pressure,1021.7
1688875948580,pressure,1021.7
1688876248614,pressure,1021.8
1688876548647,pressure,1021.8
1688876848684,pressure,1021.8
1688877148715,pressure,1021.8
1688877448748,pressure,1021.8
1688877748787,pressure,1021.8
1688878048826,pressure,1021.7
1688878348860,pressure,1021.9
1688878648891,pressure,1021.8
1688879008933,pressure,1021.8
1688879308964,pressure,1021.7
1688879608996,pressure,1021.7
1688879909034,pressure,1021.7
1688880209073,pressure,1021.7
1688880509109,pressure,1021.7
1688880809145,pressure,1021.8
1688881109178,pressure,1021.8
1688881409218,pressure,1021.7
1688881709255,pressure,1021.8
1688882009293,pressure,1021.8
1688882309328,pressure,1021.9
1688882609363,pressure,1021.9
1688882909397,pressure,1021.9
1688883209446,pressure,1021.8
1688883509478,pressure,1021.9
1688883809512,pressure,1021.9
1688884109549,pressure,1021.8
1688884409590,pressure,1021.9
1688884709632,pressure,1021.8
1688885009662,pressure,1021.8
1688885309705,pressure,1021.7
1688885609753,pressure,1021.6
1688885909795,pressure,1021.7
1688886209827,pressure,1021.7
1688886569867,pressure,1021.8
1688886869906,pressure,1021.8
1688887169939,pressure,1021.8
1688887469972,pressure,1021.8
1688887770004,pressure,1021.8
1688888070035,pressure,1021.8
1688888370080,pressure,1021.8
1688888670117,pressure,1021.8
1688888970149,pressure,1021.7
1688889270183,pressure,1021.7
1688889570219,pressure,1021.7
1688889870259,pressure,1021.8
1688890170292,pressure,1021.7
1688890470332,pressure,1021.8
1688890770367,pressure,1022.0
1688891070403,pressure,1022.0
1688891370437,pressure,1022.0
1688891670471,pressure,1022.0
1688891970506,pressure,1022.1
1688892270536,pressure,1022.0
1688892570572,pressure,1022.0
1688892870608,pressure,1022.0
1688893170650,pressure,1022.0
1688893470691,pressure,1022.0
1688893770723,pressure,1022.1
1688894070762,pressure,1022.0
1688894370798,pressure,1022.1
1688894670830,pressure,1022.1
1688894970862,pressure,1021.9
1688895270895,pressure,1022.1
1688895570924,pressure,1022.1
1688895870962,pressure,1022.1
1688896171004,pressure,1022.1
1688896471039,pressure,1022.1
1688896771074,pressure,1022.0
1688897071106,pressure,1022.1
1688897371140,pressure,1022.1
1688897671176,pressure,1022.1
1688897971211,pressure,1022.2
1688898271245,pressure,1022.3
1688898571286,pressure,1022.2
1688898871320,pressure,1022.1
1688899171354,pressure,1022.1
1688899531394,pressure,1022.1
1688899831431,pressure,1022.1
1688900131464,pressure,1022.1
1688900431497,pressure,1022.1
1688900731533,pressure,1022.1
1688901031572,pressure,1022.1
1688901331606,pressure,1022.1
1688901631640,pressure,1022.0
1688902107484,pressure,1022.0
1688902407521,pressure,1022.0
1688902707554,pressure,1022.0
1688903007588,pressure,1022.1
1688903307624,pressure,1022.0
1688903607660,pressure,1021.9
1688903907697,pressure,1022.0
1688904207730,pressure,1021.9
1688904507763,pressure,1021.8
1688904807806,pressure,1021.7
1688905107837,pressure,1021.6
1688905407867,pressure,1021.6
1688905707905,pressure,1021.6
1688906007943,pressure,1021.4
1688906307982,pressure,1021.4
1688906608022,pressure,1021.4
1688906968058,pressure,1021.1
1688907268088,pressure,1021.3
1688907568125,pressure,1021.2
1688907868159,pressure,1021.1
1688908168192,pressure,1021.1
1688908468227,pressure,1021.3
1688908768262,pressure,1021.2
1688909068292,pressure,1021.2
1688909368323,pressure,1021.2
1688909668358,pressure,1021.2
1688909968413,pressure,1021.1
1688910268451,pressure,1021.1
1688910568488,pressure,1021.1
1688910868526,pressure,1021.2
1688911168565,pressure,1021.2
1688911468616,pressure,1021.2
1688911768661,pressure,1021.3
1688912068695,pressure,1021.3
1688912787708,pressure,1021.3
1688913087744,pressure,1021.4
1688913387786,pressure,1021.5
1688913687844,pressure,1021.4
1688913987884,pressure,1021.4
1688914287922,pressure,1021.3
1688914587955,pressure,1021.3
1688914887995,pressure,1021.3
1688915188032,pressure,1021.2
1688915488071,pressure,1021.2
1688915788119,pressure,1021.2
1688916088154,pressure,1021.0
1688916388186,pressure,1020.9
1688916688220,pressure,1020.9
1688916988257,pressure,1020.8
1688917288302,pressure,1020.7
1688917588334,pressure,1020.7
1688917888370,pressure,1020.6
1688918188400,pressure,1020.6
1688918488446,pressure,1020.5
1688918788479,pressure,1020.5
1688919088517,pressure,1020.4
1688919388554,pressure,1020.4
1688919688586,pressure,1020.3
1688919988620,pressure,1020.3
1688920288658,pressure,1020.3
1688920588692,pressure,1020.3
1688920888728,pressure,1020.3
1688921188766,pressure,1020.3
1688921488799,pressure,1020.3
1688921788832,pressure,1020.2
1688922088864,pressure,1020.1
1688968723006,pressure,1017.6
1688969023039,pressure,1017.7
1688969323074,pressure,1017.6
1688969623120,pressure,1017.4
1688969923160,pressure,1017.3
1688970223195,pressure,1017.4
1688970523240,pressure,1017.3
1688970823277,pressure,1017.4
1688971123319,pressure,1017.3
1688971423360,pressure,1017.2
1688971723389,pressure,1017.3
1688972023422,pressure,1017.3
1688972323454,pressure,1017.2
1688972683497,pressure,1017.0
1688973043542,pressure,1017.3
1688973403586,pressure,1017.5
1688973763627,pressure,1017.4
1688974123667,pressure,1017.4
1688974483710,pressure,1017.3
1688974843749,pressure,1017.2
1688975203786,pressure,1017.1
1688975563825,pressure,1016.8
1688975923864,pressure,1017.1
1688976283906,pressure,1017.1
1688976643945,pressure,1017.1
1688977003983,pressure,1016.7
1688977364021,pressure,1016.5
1688977724059,pressure,1016.5
1688978084096,pressure,1016.4
1688978444133,pressure,1016.5
1688978744165,pressure,1016.5
1688979044198,pressure,1016.7
1688979344233,pressure,1016.9
1688979704272,pressure,1017.3
1688980064311,pressure,1017.6
1688980424349,pressure,1017.7
1688980784390,pressure,1017.9
1688981144434,pressure,1017.6
1688981504482,pressure,1017.7
1688981864522,pressure,1017.8
1688982224561,pressure,1017.2
1688982584599,pressure,1017.8
1688982944642,pressure,1018.1
1688983304686,pressure,1018.1
1688983664723,pressure,1017.7
1688984024763,pressure,1017.7
1688984324796,pressure,1017.7
1688984624839,pressure,1017.5
1688984924870,pressure,1017.4
1688985284908,pressure,1017.5
1688985644949,pressure,1017.5
1688986004989,pressure,1017.6
1688986305027,pressure,1017.7
1688986605060,pressure,1017.8
1688986905094,pressure,1017.7
1688987265132,pressure,1017.7
1688987625171,pressure,1017.8
1688987985218,pressure,1017.7
1688988285259,pressure,1017.7
1688988585294,pressure,1017.7
1688988885327,pressure,1017.7
1688989245362,pressure,1017.7
1688989605404,pressure,1017.7
1688989965452,pressure,1017.7
1688990325491,pressure,1017.7
1688990685534,pressure,1017.7
1688991045573,pressure,1017.7
1688991405618,pressure,1017.7
1688991765660,pressure,1017.7
1688992125697,pressure,1017.7
1688992485746,pressure,1017.7
1688992845801,pressure,1017.8
1688993205841,pressure,1017.8
1688993565883,pressure,1017.9
1688993925925,pressure,1017.8
1688994285966,pressure,1017.8
1688994646006,pressure,1017.9
1688995006046,pressure,1017.9
1688995366090,pressure,1018.0
1688995726134,pressure,1017.9
1688996086178,pressure,1018.0
1688996446219,pressure,1018.0
1688996806257,pressure,1017.9
1688997166305,pressure,1018.0
1688997526341,pressure,1017.9
1688997886378,pressure,1018.0
1688998186423,pressure,1017.9
1688998486457,pressure,1018.0
1688998786491,pressure,1018.0
1688999146529,pressure,1018.0
1688999446569,pressure,1018.0
1688999746600,pressure,1018.0
1689000046632,pressure,1017.9
1689000406669,pressure,1017.9
1689000766710,pressure,1018.0
1689001126751,pressure,1017.8
1689001486791,pressure,1017.9
1689001846832,pressure,1017.8
1689002206871,pressure,1017.8
1689002566915,pressure,1017.7
1689002926962,pressure,1017.6
1689003287001,pressure,1017.6
1689003647044,pressure,1017.6
1689004007084,pressure,1017.7
1689004367122,pressure,1017.6
1689004727163,pressure,1017.6
1689005087199,pressure,1017.6
1689005447238,pressure,1017.6
1689005747273,pressure,1017.6
1689006047307,pressure,1017.5
1689006347342,pressure,1017.5
1689006707387,pressure,1017.3
1689007067432,pressure,1017.3
1689007427470,pressure,1017.3
1689007787505,pressure,1017.3
1689008147547,pressure,1017.2
1689008507589,pressure,1017.3
1689008867629,pressure,1017.2
1689009227669,pressure,1017.2
1689009587706,pressure,1017.3
1689009887753,pressure,1017.3
1689010187787,pressure,1017.3
1689010487825,pressure,1017.3
1689010847868,pressure,1017.3
1689011147908,pressure,1017.3
1689011447947,pressure,1017.2
1689011747982,pressure,1017.2
1689012108027,pressure,1017.4
1689012468064,pressure,1017.4
1689012828105,pressure,1017.4
1689013188148,pressure,1017.5
1689013548191,pressure,1017.7
1689013908232,pressure,1017.6
1689014628315,pressure,1017.7
1689014988355,pressure,1017.7
1689015348395,pressure,1017.7
1689015708439,pressure,1017.6
1689016068476,pressure,1017.6
1689016428511,pressure,1017.8
1689016788551,pressure,1017.8
1689017148592,pressure,1017.9
1689017508631,pressure,1017.9
1689017868668,pressure,1017.9
1689018228709,pressure,1018.0
1689018588750,pressure,1018.0
1689018948791,pressure,1018.0
1689019308830,pressure,1018.0
1689019668868,pressure,1018.1
1689019968907,pressure,1018.1
1689020268937,pressure,1018.0
1689020568969,pressure,1018.1
1689021147974,pressure,1018.3
1689021748042,pressure,1018.4
1689022048075,pressure,1018.4
1689022348110,pressure,1018.3
1689022648157,pressure,1018.2
1689022948188,pressure,1018.1
1689023248220,pressure,1018.1
1689023548254,pressure,1018.2
1689023908297,pressure,1018.1
1689024268338,pressure,1018.0
1689049023094,pressure,1017.6
1689049323130,pressure,1017.7
1689049623167,pressure,1017.6
1689049923200,pressure,1017.6
1689050223233,pressure,1017.5
1689050523267,pressure,1017.5
1689050823303,pressure,1017.6
1689051123338,pressure,1017.4
1689051423374,pressure,1017.4
1689051723408,pressure,1017.5
1689052023439,pressure,1017.5
1689052323476,pressure,1017.6
1689052623507,pressure,1017.6
1689052923546,pressure,1017.5
1689053223578,pressure,1017.5
1689053523609,pressure,1017.5
1689053823642,pressure,1017.5
1689054123674,pressure,1017.5
1689054423708,pressure,1017.5
1689054723743,pressure,1017.6
1689055023774,pressure,1017.6
1689055323806,pressure,1017.4
1689055623835,pressure,1017.4
1689055923868,pressure,1017.4
1689056223912,pressure,1017.3
1689056523949,pressure,1017.4
1689056823988,pressure,1017.3
1689057124019,pressure,1017.3
1689057424053,pressure,1017.2
1689057724086,pressure,1017.2
1689058024125,pressure,1017.2
1689058324175,pressure,1017.2
1689058624212,pressure,1017.1
1689058924253,pressure,1017.2
1689059224286,pressure,1017.2
1689059524319,pressure,1017.2
1689059824357,pressure,1017.3
1689060124390,pressure,1017.4
1689060424432,pressure,1017.2
1689060724468,pressure,1017.2
1689061024512,pressure,1017.2
1689061324545,pressure,1017.2
1689061684581,pressure,1017.1
1689061984617,pressure,1017.1
1689062284653,pressure,1017.0
1689062584691,pressure,1016.9
1689062884740,pressure,1016.9
1689063184780,pressure,1016.8
1689063484813,pressure,1016.8
1689063784850,pressure,1016.8
1689064084895,pressure,1016.8
1689064384930,pressure,1016.8
1689064684961,pressure,1016.8
1689064984996,pressure,1016.7
1689065285030,pressure,1016.7
1689065585070,pressure,1016.6
1689065885106,pressure,1016.7
1689066185147,pressure,1016.7
1689066485181,pressure,1016.6
1689066785215,pressure,1016.6
1689067085256,pressure,1016.6
1689067385295,pressure,1016.6
1689067685331,pressure,1016.6
1689067985364,pressure,1016.5
1689068285395,pressure,1016.5
1689068585427,pressure,1016.5
1689068885462,pressure,1016.5
1689069185499,pressure,1016.4
1689069697784,pressure,1016.3
1689069997823,pressure,1016.4
1689070597584,pressure,1016.2
1689070897618,pressure,1016.3
1689071197663,pressure,1016.3
1689071497703,pressure,1016.3
1689071857746,pressure,1016.3
1689072157777,pressure,1016.1
1689072457809,pressure,1015.8
1689072757841,pressure,1016.0
1689073057873,pressure,1016.0
1689073357908,pressure,1015.9
1689073657954,pressure,1016.0
1689073957992,pressure,1016.0
1689074258028,pressure,1015.9
1689074558066,pressure,1015.9
1689074858104,pressure,1015.9
1689075158135,pressure,1015.7
1689075458171,pressure,1015.6
1689075758206,pressure,1015.5
1689076058247,pressure,1015.4
1689076358291,pressure,1015.4
1689076718335,pressure,1015.3
1689077018367,pressure,1015.3
1689077318406,pressure,1015.3
1689077618435,pressure,1015.4
1689077918474,pressure,1015.2
1689078218512,pressure,1015.2
1689078518547,pressure,1015.1
1689078818580,pressure,1015.0
1689079118615,pressure,1015.0
1689079418650,pressure,1015.0
1689079718684,pressure,1014.9
1689080018717,pressure,1015.0
1689080318750,pressure,1014.7
1689080618790,pressure,1015.0
1689080918823,pressure,1014.9
1689081218855,pressure,1014.9
1689081518888,pressure,1014.8
1689081818918,pressure,1014.8
1689082118951,pressure,1014.5
1689082418982,pressure,1014.5
1689082719021,pressure,1014.5
1689083019056,pressure,1014.5
1689083319089,pressure,1014.4
1689083619130,pressure,1014.4
1689084341537,pressure,1014.5
1689084641571,pressure,1014.6
1689084941607,pressure,1014.5
1689085241641,pressure,1014.5
1689085541673,pressure,1014.5
1689085841707,pressure,1014.4
1689086141739,pressure,1014.4
1689086441775,pressure,1014.4
1689086741810,pressure,1014.3
1689087041841,pressure,1014.3
1689087341873,pressure,1014.3
1689087641910,pressure,1014.2
1689087941945,pressure,1014.2
1689088241978,pressure,1014.1
1689088542012,pressure,1014.0
1689088842045,pressure,1014.0
1689090642255,pressure,1013.7
1689090942293,pressure,1013.7
1689091242329,pressure,1013.6
1689091542368,pressure,1013.6
1689091842404,pressure,1013.5
1689092142437,pressure,1013.6
1689092442472,pressure,1013.5
1689092742509,pressure,1013.4
1689093042544,pressure,1013.4
1689093342586,pressure,1013.4
1689093642623,pressure,1013.3
1689093942680,pressure,1013.3
1689094242712,pressure,1013.2
1689094542743,pressure,1013.1
1689094842779,pressure,1013.1
1689095142812,pressure,1013.0
1689095442841,pressure,1012.9
1689095742872,pressure,1012.8
1689096042903,pressure,1012.7
1689096342943,pressure,1012.6
1689096642979,pressure,1012.5
1689096943011,pressure,1012.5
1689097243040,pressure,1012.5
1689097543078,pressure,1012.5
1689097843116,pressure,1012.5
1689098143148,pressure,1012.4
1689098443182,pressure,1012.4
1689099018526,pressure,1012.2
1689099318560,pressure,1012.1
1689099618593,pressure,1012.1
1689099918625,pressure,1012.1
1689100278665,pressure,1012.0
1689100578711,pressure,1011.9
1689100878751,pressure,1011.9
1689101178799,pressure,1011.9
1689101478831,pressure,1011.8
1689101778867,pressure,1011.8
1689102078913,pressure,1011.8
1689102378946,pressure,1011.8
1689102678987,pressure,1011.7
1689102979018,pressure,1011.7
1689103279057,pressure,1011.7
1689103579089,pressure,1011.7
1689103879126,pressure,1011.6
1689104179167,pressure,1011.5
1689104479205,pressure,1011.4
1689104779237,pressure,1011.4
1689105079272,pressure,1011.4
1689105379311,pressure,1011.3
1689105679342,pressure,1011.2
1689105979375,pressure,1011.2
1689106279408,pressure,1011.1
1689106753892,pressure,1011.0
1689107053932,pressure,1010.9
1689107353966,pressure,1010.9
1689107654006,pressure,1010.8
1689107954044,pressure,1010.8
1689108254094,pressure,1010.8
1689108554139,pressure,1010.7
1689108854173,pressure,1010.6
1689109154207,pressure,1010.5
1689109454241,pressure,1010.3
1689109754279,pressure,1010.2
1689110054316,pressure,1010.2
1689110354351,pressure,1010.1
1689110654380,pressure,1010.1
1689110954413,pressure,1010.1
1689111314454,pressure,1010.0
1689111614488,pressure,1009.9
1689111914521,pressure,1009.9
1689112214558,pressure,1009.8
1689112514595,pressure,1009.8
1689112814631,pressure,1009.6
1689113114664,pressure,1009.5
1689113414698,pressure,1009.5
1689113714730,pressure,1009.5
1689114014772,pressure,1009.5
1689114314802,pressure,1009.5
1689114614833,pressure,1009.5
1689114914873,pressure,1009.6
1689115214910,pressure,1009.5
1689115514944,pressure,1009.4
1689115814979,pressure,1009.4
1689116115016,pressure,1009.4
1689116415051,pressure,1009.4
1689116715087,pressure,1009.3
1689117015120,pressure,1009.4
1689117315159,pressure,1009.3
1689117615194,pressure,1009.3
1689117915228,pressure,1009.5
1689118215262,pressure,1009.7
1689118515299,pressure,1009.8
1689118815334,pressure,1009.6
1689119115383,pressure,1009.5
1689119415416,pressure,1009.3
1689119715454,pressure,1009.0
1689120015494,pressure,1008.8
1689120315529,pressure,1008.7
1689120615570,pressure,1008.6
1689120915637,pressure,1008.7
1689121215668,pressure,1008.7
1689121515704,pressure,1008.7
1689121875746,pressure,1008.5
1689122175780,pressure,1008.4
1689122475811,pressure,1008.2
1689122835852,pressure,1008.0
1689123135895,pressure,1008.0
1689123495932,pressure,1007.9
1689123795971,pressure,1007.7
1689124096008,pressure,1007.6
1689124456049,pressure,1007.4
1689124756083,pressure,1007.3
1689125116126,pressure,1007.1
1689125416155,pressure,1007.2
1689125716189,pressure,1007.0
1689126016227,pressure,1007.1
1689126316264,pressure,1006.9
1689126616299,pressure,1006.9
1689126916341,pressure,1006.8
1689127216389,pressure,1006.6
1689127516423,pressure,1006.5
1689127816456,pressure,1006.5
1689128116499,pressure,1006.4
1689128416532,pressure,1006.3
1689128716568,pressure,1006.4
1689129016606,pressure,1006.3
1689129316639,pressure,1006.2
1689129616688,pressure,1006.1
1689129976730,pressure,1006.0
1689130276767,pressure,1006.0
1689130576816,pressure,1006.1
1689130876853,pressure,1005.9
1689131236890,pressure,1005.8
1689131536937,pressure,1005.8
1689131836975,pressure,1005.6
1689132137014,pressure,1005.5
1689132437045,pressure,1005.6
1689132737075,pressure,1006.0
1689133097117,pressure,1006.7
1689133457163,pressure,1007.1
1689133817203,pressure,1007.1
1689134177243,pressure,1007.3
1689134537287,pressure,1007.4
1689134897344,pressure,1007.3
1689135197391,pressure,1007.2
1689135497421,pressure,1007.0
1689135797453,pressure,1007.0
1689136097494,pressure,1006.9
1689136397535,pressure,1006.8
1689136697568,pressure,1006.6
1689136997605,pressure,1006.5
1689137297638,pressure,1006.6
1689137597676,pressure,1006.6
1689137897719,pressure,1006.6
1689138197751,pressure,1006.4
1689138497786,pressure,1006.6
1689138857824,pressure,1006.2
1689139217863,pressure,1005.7
1689139577903,pressure,1005.3
1689139937941,pressure,1005.4
1689140237977,pressure,1005.5
1689140538021,pressure,1005.4
1689140838057,pressure,1005.5
1689141198097,pressure,1005.6
1689141558140,pressure,1005.4
1689141918198,pressure,1005.3
1689142278237,pressure,1005.4
1689142638274,pressure,1005.3
1689142998312,pressure,1005.2
1689143298352,pressure,1005.0
1689143598397,pressure,1004.9
1689143898429,pressure,1004.8
1689144258472,pressure,1004.7
1689144558512,pressure,1004.8
1689144858553,pressure,1005.0
1689145158592,pressure,1005.1
1689145458643,pressure,1005.0
1689145758676,pressure,1004.9
1689146058710,pressure,1005.0
1689146358752,pressure,1004.9
1689146658788,pressure,1005.1
1689146958818,pressure,1005.1
1689147318853,pressure,1005.1
1689147678898,pressure,1005.1
1689148038937,pressure,1005.3
1689148398976,pressure,1005.4
1689148699016,pressure,1005.5
1689148999052,pressure,1005.4
1689149299087,pressure,1005.4
1689149659128,pressure,1005.4
1689150019177,pressure,1005.5
1689150379218,pressure,1005.5
1689150739262,pressure,1005.4
1689151099302,pressure,1005.2
1689151459347,pressure,1005.3
1689151819384,pressure,1005.3
1689152119423,pressure,1005.3
1689152419474,pressure,1005.3
1689152719513,pressure,1005.3
1689153079555,pressure,1005.2
1689153439597,pressure,1005.3
1689153799641,pressure,1005.3
1689154099680,pressure,1005.3
1689154399717,pressure,1005.1
1689154699749,pressure,1005.1
1689155059785,pressure,1005.1
1689155419826,pressure,1005.1
1689155779865,pressure,1005.1
1689156139902,pressure,1005.1
1689156499940,pressure,1004.9
1689156799978,pressure,1004.7
1689157100014,pressure,1005.0
1689157400047,pressure,1005.2
1689157760087,pressure,1005.2
1689158120126,pressure,1005.3
1689158420159,pressure,1005.4
1689158720193,pressure,1005.5
1689159080230,pressure,1005.3
1689159440275,pressure,1005.3
1689159740309,pressure,1005.3
1689160040342,pressure,1005.6
1689160340390,pressure,1005.7
1689160700436,pressure,1005.5
1689161060480,pressure,1005.6
1689161360519,pressure,1005.5
1689161660558,pressure,1005.6
1689161960597,pressure,1005.7
1689162260640,pressure,1005.7
1689162560671,pressure,1005.7
1689162860710,pressure,1005.8
1689163160752,pressure,1005.9
1689163460786,pressure,1005.8
1689163760828,pressure,1005.8
1689164120872,pressure,1005.8
1689164420914,pressure,1005.9
1689164720946,pressure,1005.9
1689165020986,pressure,1005.9
1689165321034,pressure,1005.8
1689165621066,pressure,1005.8
1689165921100,pressure,1005.9
1689166221136,pressure,1006.0
1689166521175,pressure,1006.0
1689166821211,pressure,1005.9
1689167121264,pressure,1005.9
1689167421309,pressure,1006.2
1689167721345,pressure,1006.1
1689168081389,pressure,1006.0
1689168381426,pressure,1006.1
1689168681463,pressure,1006.1
1689168981494,pressure,1006.1
1689169341535,pressure,1006.2
1689169701571,pressure,1006.2
1689170061612,pressure,1006.2
1689170421648,pressure,1006.3
1689170721707,pressure,1006.4
1689171021739,pressure,1006.3
1689171321781,pressure,1006.3
1689171621815,pressure,1006.3
1689171921848,pressure,1006.4
1689172221882,pressure,1006.5
1689172581920,pressure,1006.5
1689172941960,pressure,1006.6
1689173301999,pressure,1006.6
1689173662044,pressure,1006.8
1689174022082,pressure,1006.8
1689174382123,pressure,1006.6
1689174742163,pressure,1006.9
1689175102208,pressure,1006.9
1689175462249,pressure,1007.0
1689175822292,pressure,1007.0
1689176182328,pressure,1007.1
1689176542370,pressure,1007.1
1689176842404,pressure,1007.1
1689177202450,pressure,1007.2
1689177502485,pressure,1007.1
1689177802516,pressure,1007.1
1689178162557,pressure,1007.2
1689178522595,pressure,1007.3
1689178882637,pressure,1007.2
1689179242675,pressure,1007.3
1689179542718,pressure,1007.2
1689179842750,pressure,1007.2
1689180142785,pressure,1007.2
1689180442819,pressure,1007.3
1689180742853,pressure,1007.4
1689181042888,pressure,1007.3
1689181342926,pressure,1007.5
1689181642959,pressure,1007.5
1689181942993,pressure,1007.5
1689182243026,pressure,1007.6
1689182543067,pressure,1007.6
1689182843103,pressure,1007.6
1689183203144,pressure,1007.8
1689183503187,pressure,1007.8
1689183803220,pressure,1007.8
1689184103252,pressure,1007.8
1689184463297,pressure,1007.9
1689184823339,pressure,1007.9
1689185183376,pressure,1008.1
1689185483417,pressure,1008.1
1689185783452,pressure,1008.2
1689186083485,pressure,1008.1
1689186443532,pressure,1008.2
1689186743573,pressure,1008.2
1689187043605,pressure,1008.3
1689187343637,pressure,1008.3
1689187703674,pressure,1008.3
1689188063712,pressure,1008.5
1689188363750,pressure,1008.5
1689188663784,pressure,1008.6
1689188963816,pressure,1008.5
1689189323854,pressure,1008.7
1689189683895,pressure,1008.7
1689190043935,pressure,1008.8
1689190403973,pressure,1009.0
1689190764012,pressure,1009.0
1689191124050,pressure,1009.1
1689191484089,pressure,1009.2
1689191844128,pressure,1009.2
1689192204164,pressure,1009.4
1689192564207,pressure,1009.4
1689192864248,pressure,1009.5
1689193164282,pressure,1009.5
1689193464319,pressure,1009.6
1689193824361,pressure,1009.5
1689194184404,pressure,1009.5
1689194544449,pressure,1009.5
1689194904489,pressure,1009.5
1689195264535,pressure,1009.5
1689195624581,pressure,1009.6
1689195924628,pressure,1009.6
1689196224660,pressure,1009.7
1689196524690,pressure,1009.7
1689196884729,pressure,1009.7
1689197244768,pressure,1009.8
1689197604811,pressure,1009.8
1689197964853,pressure,1009.9
1689198324894,pressure,1009.8
1689198684936,pressure,1009.9
1689199044973,pressure,1010.0
1689199405014,pressure,1010.1
1689199765052,pressure,1010.1
1689200125095,pressure,1010.1
1689200485135,pressure,1010.0
1689200845179,pressure,1010.0
